ZIP Code,Type,City,County,Area Codes
ZIP Code 74013,P.O. Box,Broken Arrow,Tulsa,918
ZIP Code 74014,Standard,Broken Arrow,Wagoner,918
ZIP Code 74015,Standard,Catoosa,Rogers,918
ZIP Code 74016,Standard,Chelsea,Rogers,918
ZIP Code 74017,Standard,Claremore,Rogers,918
ZIP Code 74018,P.O. Box,Claremore,Rogers,918
ZIP Code 74019,Standard,Claremore,Rogers,918
ZIP Code 74020,Standard,Cleveland,Pawnee,918
ZIP Code 74021,Standard,Collinsville,Tulsa,918
ZIP Code 74022,Standard,Copan,Washington,918
ZIP Code 74023,Standard,Cushing,Payne,918
ZIP Code 74026,P.O. Box,Davenport,Lincoln,405ÿ/ÿ918
ZIP Code 74027,Standard,Delaware,Nowata,918
ZIP Code 74028,Standard,Depew,Creek,918
ZIP Code 74029,Standard,Dewey,Washington,918
ZIP Code 74030,Standard,Drumright,Creek,918
ZIP Code 74031,P.O. Box,Foyil,Rogers,918
ZIP Code 74032,Standard,Glencoe,Payne,580
ZIP Code 74033,Standard,Glenpool,Tulsa,918
ZIP Code 74034,P.O. Box,Hallett,Pawnee,918
ZIP Code 74035,Standard,Hominy,Osage,918
ZIP Code 74036,Standard,Inola,Rogers,918
ZIP Code 74037,Standard,Jenks,Tulsa,918
ZIP Code 74038,Standard,Jennings,Pawnee,918
ZIP Code 74039,Standard,Kellyville,Creek,918
ZIP Code 74041,Standard,Kiefer,Creek,918
ZIP Code 74042,Standard,Lenapah,Nowata,918
ZIP Code 74043,P.O. Box,Leonard,Tulsa,918
ZIP Code 74044,Standard,Mannford,Creek,918
ZIP Code 74045,Standard,Maramec,Pawnee,918
ZIP Code 74046,P.O. Box,Milfay,Creek,918
ZIP Code 74047,Standard,Mounds,Creek,918
ZIP Code 74048,Standard,Nowata,Nowata,918
ZIP Code 74050,P.O. Box,Oakhurst,Tulsa,918
ZIP Code 74051,Standard,Ochelata,Washington,918
ZIP Code 74052,P.O. Box,Oilton,Creek,918
ZIP Code 74053,Standard,Oologah,Rogers,918
ZIP Code 74054,Standard,Osage,Osage,918
ZIP Code 74055,Standard,Owasso,Tulsa,918
ZIP Code 74056,Standard,Pawhuska,Osage,918
ZIP Code 74058,Standard,Pawnee,Pawnee,918
ZIP Code 74059,Standard,Perkins,Payne,405ÿ/ÿ918
ZIP Code 74060,Standard,Prue,Osage,918
ZIP Code 74061,Standard,Ramona,Washington,918
